name,AAV,PTS,I_F_xGoals,Age,Predicted_AAV,Difference
Jamie Oleksiak,4600000.0,17,3.87,32.0,4273062.6283350745,-326937.3716649255
Jordan Kyrou,8125000.0,70,25.44,26.0,7845149.090971853,-279850.90902814735
James van Riemsdyk,1000000.0,36,13.45,35.0,3189581.2650954034,2189581.2650954034
Derek Forbort,2000000.0,11,1.39,32.0,2098901.8977360725,98901.89773607254
Jordan Staal,2900000.0,36,14.83,36.0,2921124.5316355783,21124.531635578256
Gabriel Vilardi,7500000.0,61,21.67,25.0,6749965.245529288,-750034.7544707116
A.J. Greer,850000.0,17,11.18,28.0,2393894.114892102,1543894.1148921018
Lane Hutson,950000.0,66,6.3,20.0,2083354.3293106062,1133354.3293106062
Jesse Puljujarvi,775000.0,9,5.09,26.0,1509758.3747701328,734758.3747701328
Mark Stone,9500000.0,67,19.64,32.0,7918288.701839144,-1581711.2981608557
Conor Geekie,886667.0,14,7.21,20.0,1116347.9197360075,229680.91973600746
Jere Innala,950000.0,0,1.62,26.0,838385.176208043,-111614.823791957
Rasmus Ristolainen,5100000.0,19,5.48,30.0,3919772.5650695027,-1180227.4349304973
Justin Danforth,1800000.0,21,13.12,31.0,2187489.8811857905,387489.8811857905
Mathew Dumba,3750000.0,10,3.38,30.0,2926614.9671683256,-823385.0328316744
Ryan Suter,775000.0,15,3.13,40.0,3713064.1497739144,2938064.1497739144
Damon Severson,6250000.0,25,7.83,30.0,5516797.459733235,-733202.5402667653
Zach Benson,950000.0,28,17.59,19.0,1204497.69907677,254497.6990767701
Michael Eyssimont,1450000.0,6,14.47,28.0,2367357.677902818,917357.6779028182
Martin Necas,6500000.0,28,23.09,26.0,7130116.028079832,630116.028079832
Ty Dellandrea,1300000.0,8,7.66,24.0,1400541.1267367706,100541.12673677062
Jeremy Lauzon,2000000.0,1,0.99,27.0,958924.892994984,-1041075.107005016
Scott Perunovich,775000.0,6,0.75,26.0,871966.9674865156,96966.96748651564
Stefan Noesen,2750000.0,41,28.52,31.0,5475844.9963163305,2725844.9963163305
Logan Cooley,950000.0,65,20.19,20.0,1129574.8632718255,179574.86327182548
Samuel Helenius,805833.0,7,3.71,22.0,1172797.5826308944,366964.5826308944
Jordan Oesterle,775000.0,4,1.44,32.0,970932.704742074,195932.704742074
Josh Manson,4500000.0,15,2.07,33.0,3122428.3219718565,-1377571.6780281435
Brent Burns,1000000.0,29,7.11,39.0,3409228.4418632556,2409228.4418632556
Oliver Kapanen,925000.0,2,1.7,21.0,1168513.7697087866,243513.76970878663
Connor Zary,3775000.0,27,14.09,23.0,3049710.210654122,-725289.7893458782
Esa Lindell,5250000.0,26,7.2,30.0,5078910.597689229,-171089.40231077094
Nathan Walker,775000.0,16,7.91,30.0,1936675.193909135,1161675.193909135
Connor Dewar,1100000.0,7,7.29,25.0,1171412.489944346,71412.48994434602
Connor Bedard,950000.0,67,19.09,19.0,2491046.0555001805,1541046.0555001805
Nic Dowd,3000000.0,27,13.92,34.0,4206221.938716057,1206221.9387160568
Sam Bennett,8000000.0,51,32.86,28.0,7424091.882251952,-575908.1177480482
Jackson Blake,905833.0,34,23.35,21.0,2518833.762109668,1613000.762109668
Jiri Kulich,886667.0,24,15.79,20.0,1089410.8418881218,202743.8418881218
Cole Smith,1000000.0,12,8.56,29.0,1824719.8947679303,824719.8947679303
Juuso Parssinen,1250000.0,6,3.76,23.0,994732.3391218494,-255267.6608781506
